"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Genus","Family","Family Common Name","Order","SubClass","Class","SubDivision","Division","Kingdom","Duration","Growth Habit","Active Growth Period","Shape and Orientation","Toxicity","Palatable Human"
"CIAR2","","Cinna arundinacea","sweet woodreed","Monocot","Cinna","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"CILA2","","Cinna latifolia","drooping woodreed","Monocot","Cinna","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Erect","None","No"
"CIAL","","Circaea alpina","small enchanter's nightshade","Dicot","Circaea","Onagraceae","Evening Primrose family","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Erect","None","No"
"CLVI5","","Clematis virginiana","devil's darning needles","Dicot","Clematis","Ranunculaceae","Buttercup family","Ranunculales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Vine","Spring and Summer","Climbing","None","No"
"CLSE","","Cleome serrulata","Rocky Mountain beeplant","Dicot","Cleome","Capparaceae","Caper family","Capparales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring and Summer","Erect","None","No"
"CLBO3","","Clintonia borealis","bluebead","Monocot","Clintonia","Liliaceae","Lily family","Liliales","Liliidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"COPE80","","Comptonia peregrina","sweet fern","Dicot","Comptonia","Myricaceae","Bayberry family","Myricales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Summer","Erect","None","No"
"COMA7","","Convallaria majalis","European lily of the valley","Monocot","Convallaria","Liliaceae","Lily family","Liliales","Liliidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Erect","None","No"
"COCA5","","Conyza canadensis","Canadian horseweed","Dicot","Conyza","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Biennial","Forb/herb","Spring, Summer, Fall","Erect","None","No"
"COLA5","","Coreopsis lanceolata","lanceleaf tickseed","Dicot","Coreopsis","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"COTI3","","Coreopsis tinctoria","golden tickseed","Dicot","Coreopsis","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Biennial, Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"COAL2","","Cornus alternifolia","alternateleaf dogwood","Dicot","Cornus","Cornaceae","Dogwood family","Cornales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"COCA13","","Cornus canadensis","bunchberry dogwood","Dicot","Cornus","Cornaceae","Dogwood family","Cornales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub, Forb/herb","Spring and Summer","Prostrate","None","No"
"CORA6","","Cornus racemosa","gray dogwood","Dicot","Cornus","Cornaceae","Dogwood family","Cornales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub","Spring and Summer","Erect","None","No"
"CORU","","Cornus rugosa","roundleaf dogwood","Dicot","Cornus","Cornaceae","Dogwood family","Cornales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"COSES","","Cornus sericea ssp. sericea","redosier dogwood","Dicot","Cornus","Cornaceae","Dogwood family","Cornales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Semi-Erect","None","No"
"COAM3","","Corylus americana","American hazelnut","Dicot","Corylus","Betulaceae","Birch family","Fagales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub","Spring and Summer","Erect","None","No"
"COCO6","","Corylus cornuta","beaked hazelnut","Dicot","Corylus","Betulaceae","Birch family","Fagales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","Yes"
"CRCR2","","Crataegus crus-galli","cockspur hawthorn","Dicot","Crataegus","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"CRDO2","","Crataegus douglasii","black hawthorn","Dicot","Crataegus","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring, Summer, Fall","Erect","None","Yes"
"CRRU3","","Crepis runcinata","fiddleleaf hawksbeard","Dicot","Crepis","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Decumbent","None","No"
"CYAC2","","Cyperus acuminatus","tapertip flatsedge","Monocot","Cyperus","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Graminoid","Spring and Summer","Erect","None","No"
"CYER2","","Cyperus erythrorhizos","redroot flatsedge","Monocot","Cyperus","Cyperaceae","Sedge family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Graminoid","Summer and Fall","Erect","None","No"
