"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Genus","Family","Family Common Name","Order","SubClass","Class","SubDivision","Division","Kingdom","Duration","Growth Habit","Active Growth Period","Shape and Orientation","Toxicity","Palatable Human"
"MATA2","","Machaeranthera tanacetifolia","tanseyleaf tansyaster","Dicot","Machaeranthera","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Biennial","Forb/herb","Spring and Summer","Erect","None","No"
"MAAT80","","Macroptilium atropurpureum","purple bushbean","Dicot","Macroptilium","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Vine, Forb/herb","Spring and Summer","Climbing","None","No"
"MARE11","","Mahonia repens","creeping barberry","Dicot","Mahonia","Berberidaceae","Barberry family","Ranunculales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Spring","Semi-Erect","None","No"
"MAAN9","","Maurandella antirrhiniflora","roving sailor","Dicot","Maurandella","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Vine, Forb/herb","Spring","Prostrate","None","No"
"MELU","","Medicago lupulina","black medick","Dicot","Medicago","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Forb/herb","Fall, Winter and Spring","Decumbent","None","No"
"MEPO3","","Medicago polymorpha","burclover","Dicot","Medicago","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Forb/herb","Fall, Winter and Spring","Prostrate","None","Yes"
"MESA","","Medicago sativa","alfalfa","Dicot","Medicago","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Forb/herb","Spring, Summer, Fall","Erect","None","Yes"
"MEAZ","","Melia azedarach","Chinaberrytree","Dicot","Melia","Meliaceae","Mahogany family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Year Round","Irregular","Slight","No"
"MEOF","","Melilotus officinalis","sweetclover","Dicot","Melilotus","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Biennial, Perennial","Forb/herb","Spring and Summer","Erect","Moderate","No"
"MESC","","Menodora scabra","rough menodora","Dicot","Menodora","Oleaceae","Olive family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Erect","None","No"
"MEAR4","","Mentha arvensis","wild mint","Dicot","Mentha","Lamiaceae","Mint family","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"METR3","","Menyanthes trifoliata","buckbean","Dicot","Menyanthes","Menyanthaceae","Buckbean family","Solanales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Semi-Erect","None","No"
"MECI3","","Mertensia ciliata","tall fringed bluebells","Dicot","Mertensia","Boraginaceae","Borage family","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"MICA3","","Mimulus cardinalis","scarlet monkeyflower","Dicot","Mimulus","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"MIGU","","Mimulus guttatus","seep monkeyflower","Dicot","Mimulus","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Perennial","Forb/herb","Spring and Summer","Semi-Erect","None","No"
